# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	122887
#@/user_id	6af16447-f9f1-43b9-a6ee-fea5984459fe
an quan zu 	安全組	c=1 d=1.05594e-199 t=103452
an shang 	岸上	c=0 d=0.1 t=120319
an shang de 	岸上的	c=1 d=1 t=120320
an shi 	俺是	c=2 d=1.12571e-187 t=103452
an shi 	暗示	c=5 d=1.7329e-27 t=103452
an ta 	俺他	c=1 d=3.25275e-141 t=103452
an ta 	按他	c=1 d=1 t=117579
an wei 	安慰	c=3 d=4.68448e-50 t=103452
an xi huan 	俺喜歡	c=1 d=9.57084e-220 t=103452
an xian qu 	俺先去	c=1 d=7.55742e-206 t=103452
an xin 	安心	c=5 d=1 t=119627
an ye 	俺也	c=11 d=3.8222e-186 t=103452
an yi jing 	俺已經	c=1 d=1.01034e-209 t=103452
an you 	俺有	c=1 d=2.73409e-215 t=103452
an you ge 	俺有個	c=1 d=4.68356e-224 t=103452
an zhao 	按照	c=11 d=1.64404 t=115904
an zhe 	俺這	c=2 d=1 t=119698
an zhe 	按着	c=1 d=1.93305e-195 t=103452
an zhe ge 	按這個	c=2 d=3.91188e-106 t=103452
an zhi 	安職	c=1 d=2.08252e-189 t=103452
an zhong 	安中	c=1 d=4.14262e-45 t=103452
an zhong yi 	安中醫	c=9 d=1 t=118125
an zhu 	按住	c=2 d=3.561e-118 t=103452
an zhuang 	安裝	c=98 d=1.64726 t=122361
an zhuang bao 	安裝包	c=6 d=1 t=118578
an zhuang le 	安裝了	c=1 d=5.90655e-130 t=103452
an zhuo 	安卓	c=75 d=1 t=121629
an zhuo fu 	安卓服	c=1 d=1.0094e-110 t=103452
an zhuo hao 	安卓號	c=1 d=2.0021e-108 t=103452
an zhuo ji 	安卓機	c=1 d=2.51863e-73 t=103452
ang ang 	昂昂	c=0 d=7.58368e-189 t=103452
ao 	嗷	c=108 d=1 t=117255
ao 	熬	c=3 d=1 t=113126
ao ao 	嗷嗷	c=55 d=1.18688e-45 t=103452
ao ao ao 	嗷嗷嗷	c=12 d=1.67052e-125 t=103452
ao ao ao ao ao ao 	嗷嗷嗷嗷嗷嗷	c=1 d=6.21574e-142 t=103452
ao ao ao ao ao ao ao ao 	嗷嗷嗷嗷嗷嗷嗷嗷	c=1 d=3.29653e-210 t=103452
ao ben hai mu 	奧本海姆	c=1 d=2.89483e-05 t=103452
ao fen 	凹分	c=2 d=6.90051e-11 t=103452
ao hao 	嗷好	c=1 d=1.1442e-114 t=103452
ao li gei 	奧利給	c=1 d=3.46327e-26 t=103452
ao ye 	熬夜	c=3 d=1.32869e-108 t=103452
ba 	八	c=0 d=3.10221e-114 t=103452
ba 	吧	c=762 d=2.04715 t=122669
ba 	扒	c=0 d=3.03913e-137 t=103452
ba 	把	c=227 d=1.00026 t=122713
ba 	拔	c=3 d=1.67665e-72 t=103452
ba 	罷	c=1 d=6.64554e-17 t=103452
ba ba 	爸爸	c=0 d=2.86321e-112 t=103452
ba bai 	八百	c=0 d=4.62196e-40 t=103452
ba bai zi zuo wen 	八百字作文	c=1 d=4.64513e-39 t=103452
ba bu de 	巴不得	c=1 d=1 t=114190
ba chuan 	巴川	c=6 d=2.89314 t=111354
ba da 	八達	c=0 d=2.29007e-190 t=103452
ba da niao 	八達鳥	c=1 d=2.30154e-189 t=103452
